"","lat","lon","species"
"707",38.77,0.29,"Boops boops"
"710",38.14,-0.09,"Boops boops"
"711",38.62517,-28.09422,"Boops boops"
"712",38.68,0.18,"Boops boops"
"713",38.95,0.17,"Boops boops"
"714",38.74744,-27.00288,"Boops boops"
"715",38.95,0.06,"Boops boops"
"717",37.88,-0.56,"Boops boops"
"718",38.68,0.3,"Boops boops"
"719",38.15,-0.55,"Boops boops"
"721",37.87733,-25.18925,"Boops boops"
"722",38.60661,-28.8519,"Boops boops"
"723",38.40392,-28.14242,"Boops boops"
"724",37.87,-0.44,"Boops boops"
"725",38.40386,-28.14814,"Boops boops"
"726",38.95,-0.06,"Boops boops"
"727",38.24,-0.43,"Boops boops"
"728",40.16,0.72,"Boops boops"
"729",39.34,0.11,"Boops boops"
"730",38.67,0.28,"Boops boops"
"731",39.25,0.16,"Boops boops"
"732",38.62,0.39,"Boops boops"
"733",37.91,0.57,"Boops boops"
"734",39.61,0.09,"Boops boops"
"735",38.03,0.31,"Boops boops"
"736",38.68,1.06,"Boops boops"
"737",38.44,0.24,"Boops boops"
"738",39.57,0.01,"Boops boops"
"739",40.53,1.01,"Boops boops"
"740",38.27,0.37,"Boops boops"
"742",40.51,0.94,"Boops boops"
"743",38.09,0.21,"Boops boops"
"744",38.08,0.56,"Boops boops"
"745",40.09,0.91,"Boops boops"
"746",37.99,0.56,"Boops boops"
"747",37.91,0.48,"Boops boops"
"748",40.41,1.03,"Boops boops"
"749",40,0.87,"Boops boops"
"750",38.34,0.04,"Boops boops"
"7511",37.97,0.5,"Boops boops"
"755",38.77,0.07,"Boops boops"
"758",35.253724,25.761223,"Boops boops"
"759",36.94452,-25.18911,"Boops boops"
"760",38.00399,-29.29788,"Boops boops"
"761",38.64107,-28.65747,"Boops boops"
"762",38.6704,-27.31899,"Boops boops"
"763",39.1117,-28.10171,"Boops boops"
"764",37.25164,-24.70827,"Boops boops"
"765",39.1028,-28.09001,"Boops boops"
"766",39.3668,-31.28569,"Boops boops"
"767",37.01677,-25.19864,"Boops boops"
"768",38.81938,-27.18719,"Boops boops"
"769",37.046,-25.05178,"Boops boops"
"770",38.79624,-27.42319,"Boops boops"
"771",37.72128,-25.30084,"Boops boops"
"772",39.74258,-31.10478,"Boops boops"
"773",38.68426,-28.03764,"Boops boops"
"774",38.44097,-28.03415,"Boops boops"
"775",38.44087,-28.0456,"Boops boops"
"776",38.83289,-27.19298,"Boops boops"
"777",38.44092,-28.03987,"Boops boops"
